"시군구별","성별",2021,2020,2019
"전국","계",26.0,25.7,26.9
"전국","남",35.9,35.5,38.0
"전국","여",16.2,15.9,15.8
"서울특별시","계",22.6,22.7,22.5
"서울특별시","남",30.5,30.3,30.8
"서울특별시","여",15.0,15.4,14.5
"부산광역시","계",27.7,27.4,30.1
"부산광역시","남",37.9,38.8,43.1
"부산광역시","여",17.9,16.4,17.6
"대구광역시","계",26.3,26.1,28.7
"대구광역시","남",38.2,35.8,41.2
"대구광역시","여",14.7,16.6,16.5
"인천광역시","계",25.9,26.5,25.9
"인천광역시","남",34.5,37.0,37.7
"인천광역시","여",17.3,15.9,14.1
"광주광역시","계",26.4,22.6,23.9
"광주광역시","남",38.0,31.1,33.9
"광주광역시","여",15.1,14.2,14.1
"대전광역시","계",29.3,27.2,28.7
"대전광역시","남",39.8,37.9,41.9
"대전광역시","여",18.8,16.5,15.6
"울산광역시","계",28.5,26.4,28.2
"울산광역시","남",40.7,36.7,41.5
"울산광역시","여",15.5,15.6,14.2
"세종특별자치시","계",19.0,18.4,22.4
"세종특별자치시","남",24.3,18.5,26.4
"세종특별자치시","여",13.8,18.4,18.4
"경기도","계",23.6,23.7,25.4
"경기도","남",31.3,32.3,34.2
"경기도","여",15.7,14.9,16.4
"강원도","계",32.7,33.2,33.3
"강원도","남",45.4,45.6,49.5
"강원도","여",19.9,20.7,16.9
"충청북도","계",31.8,27.1,31.1
"충청북도","남",44.5,38.5,46.0
"충청북도","여",18.7,15.4,15.9
"충청남도","계",32.2,34.7,35.2
"충청남도","남",45.0,47.9,50.6
"충청남도","여",18.8,21.0,19.2
"전라북도","계",28.5,27.8,30.2
"전라북도","남",42.5,41.7,43.9
"전라북도","여",14.6,14.0,16.6
"전라남도","계",30.2,28.5,25.4
"전라남도","남",42.7,41.3,39.4
"전라남도","여",17.6,15.6,11.3
"경상북도","계",29.0,28.6,29.4
"경상북도","남",40.8,37.8,41.6
"경상북도","여",17.1,19.3,17.1
"경상남도","계",26.3,25.3,28.0
"경상남도","남",37.6,36.3,39.8
"경상남도","여",14.9,14.3,16.1
"제주도","계",26.1,30.0,31.7
"제주도","남",41.0,42.6,47.6
"제주도","여",11.1,17.2,15.5
