지역,남성,여성,인구수
서울특별시,4566299,4860105,9426404
부산광역시,1616930,1696609,3313539
대구광역시,1159876,1199112,2358988
인천광역시,1488490,1485991,2974481
광주광역시,705471,722037,1427508
대전광역시,721051,724468,1445519
울산광역시,569131,538615,1107746
세종특별자치시,192212,193397,385609
경기도,6845505,6758041,13603546
강원도,771574,762145,1533719
충청북도,810811,783245,1594056
충청남도,1087705,1036945,2124650
전라북도,878456,886719,1765175
전라남도,913670,900202,1813872
경상북도,1309056,1284154,2593210
경상남도,1646280,1622948,3269228
제주도,339056,337975,677031
